event_id,time,activity,lifecycle,msg_id,msg_payload,msg_role,x,y,z,robot,casename
0,2022-12-16T22:27:08.918367,takeoff,start,,,,0.0,5.007.765.737.662.970,0.0,drone,1
2,2022-12-16T22:27:09.953367,explore,start,,,,0.0,5.007.765.737.662.970,14.487.949.137.561.200,drone,1
4,2022-12-16T22:27:29.075367,weed_found,start,,,,12.263.564.723.571.800,6.256.695.359.899.490,14.487.949.137.561.200,drone,1
6,2022-12-16T22:27:39.113367,weed_position!,start,m_1,{weed: {x:1.2263564723571878; y: 6.256695359899496} },send,12.263.564.723.571.800,6.256.695.359.899.490,14.487.949.137.561.200,drone,1
8,2022-12-16T22:27:59.113367,weed_position!,start,m_1,{weed: {x:1.2263564723571878; y: 6.256695359899496} },send,12.263.564.723.571.800,6.256.695.359.899.490,14.487.949.137.561.200,drone,1
9,2022-12-16T22:27:59.131367,weed_position?,start,m_1,{weed: {x:1.2263564723571878; y: 6.256695359899496} },receive,0.0,0.0,0.0,tractor_1,1
10,2022-12-16T22:27:59.132367,weed_position?,start,m_1,{weed: {x:1.2263564723571878; y: 6.256695359899496} },receive,0.0,0.0,0.0,tractor_2,1
14,2022-12-16T22:28:09.130367,tractor_position!,start,m_2,{ header: tractor_1; position: {x:0; y: 0} },send,0.0,0.0,0.0,tractor_1,1
15,2022-12-16T22:28:09.150367,tractor_position?,start,m_2,{ header: tractor_1; position: {x:0; y: 0} },receive,12.263.564.723.571.800,6.256.695.359.899.490,14.487.949.137.561.200,drone,1
18,2022-12-16T22:28:09.197367,tractor_position!,start,m_3,{ header: tractor_2; position: {x:1; y: 0} },send,0.0,0.0,0.0,tractor_2,1
19,2022-12-16T22:28:09.207367,tractor_position?,start,m_3,{ header: tractor_2; position: {x:1; y: 0} },receive,12.263.564.723.571.800,6.256.695.359.899.490,14.487.949.137.561.200,drone,1
22,2022-12-16T22:28:09.247367,select_closest_tractor,start,,,,12.263.564.723.571.800,6.256.695.359.899.490,14.487.949.137.561.200,drone,1
24,2022-12-16T22:28:09.268367,closest_tractor!,start,m_4,{ name: tractor_2 },send,12.263.564.723.571.800,6.256.695.359.899.490,14.487.949.137.561.200,drone,1
25,2022-12-16T22:28:09.277367,closest_tractor?,start,m_4,{ name: tractor_2 },receive,0.0,0.0,0.0,tractor_1,1
26,2022-12-16T22:28:09.280367,explore,start,,,,12.263.564.723.571.800,6.256.695.359.899.490,14.847.516.275.312.200,drone,1
28,2022-12-16T22:28:09.281367,closest_tractor?,start,m_4,{ name: tractor_2 },receive,1.0,0.0,0.0,tractor_2,1
29,2022-12-16T22:28:09.290367,move,start,,,,1.0,0.0,0.0,tractor_2,1
33,2022-12-16T22:28:09.335367,cut_grass,start,,,,12.263.564.723.571.800,6.256.695.359.899.490,0.0,tractor_2,1
36,2022-12-16T22:28:26.362367,weed_found,start,,,,25.366.555.226.967.800,7.005.137.277.147.280,14.847.516.275.312.200,drone,1
38,2022-12-16T22:28:36.391367,weed_position!,start,m_5,{weed: {x:2.5366555226967806; y: 7.005137277147284} },send,25.366.555.226.967.800,7.005.137.277.147.280,14.847.516.275.312.200,drone,1
39,2022-12-16T22:28:36.408367,weed_position?,start,m_5,{weed: {x:2.5366555226967806; y: 7.005137277147284} },receive,0.0,0.0,0.0,tractor_1,1
40,2022-12-16T22:28:36.411367,weed_position?,start,m_5,{weed: {x:2.5366555226967806; y: 7.005137277147284} },receive,1.0,0.0,0.0,tractor_2,1
44,2022-12-16T22:28:46.411367,tractor_position!,start,m_6,{ header: tractor_1; position: {x:0; y: 0} },send,0.0,0.0,0.0,tractor_1,1
45,2022-12-16T22:28:46.423367,tractor_position?,start,m_6,{ header: tractor_1; position: {x:0; y: 0} },receive,25.366.555.226.967.800,7.005.137.277.147.280,14.847.516.275.312.200,drone,1
48,2022-12-16T22:28:46.454367,tractor_position!,start,m_7,{ header: tractor_2; position: {x:1.2263564723571878; y: 6.256695359899496} },send,1.0,0.0,0.0,tractor_2,1
49,2022-12-16T22:28:46.473367,tractor_position?,start,m_7,{ header: tractor_2; position: {x:1.2263564723571878; y: 6.256695359899496} },receive,25.366.555.226.967.800,7.005.137.277.147.280,14.847.516.275.312.200,drone,1
52,2022-12-16T22:28:46.523367,select_closest_tractor,start,,,,25.366.555.226.967.800,7.005.137.277.147.280,14.847.516.275.312.200,drone,1
54,2022-12-16T22:28:46.544367,closest_tractor!,start,m_8,{ name: tractor_2 },send,25.366.555.226.967.800,7.005.137.277.147.280,14.847.516.275.312.200,drone,1
56,2022-12-16T22:28:46.556367,explore,start,,,,25.366.555.226.967.800,7.005.137.277.147.280,144.217.873.252.742,drone,1
58,2022-12-16T22:28:46.563367,closest_tractor?,start,m_8,{ name: tractor_2 },receive,12.263.564.723.571.800,6.256.695.359.899.490,0.0,tractor_2,1
60,2022-12-16T22:28:46.563367,move,start,,,,12.263.564.723.571.800,6.256.695.359.899.490,0.0,tractor_2,1
61,2022-12-16T22:28:46.566367,closest_tractor?,start,m_8,{ name: tractor_2 },receive,0.0,0.0,0.0,tractor_1,1
63,2022-12-16T22:28:46.604367,cut_grass,start,,,,25.366.555.226.967.800,7.005.137.277.147.280,0.0,tractor_2,1
66,2022-12-16T22:28:57.655367,weed_found,start,,,,3.163.263.757.408.150,7.700.152.597.379.740,144.217.873.252.742,drone,1
68,2022-12-16T22:29:07.683367,weed_position!,start,m_9,{weed: {x:3.163263757408154; y: 7.700152597379749} },send,3.163.263.757.408.150,7.700.152.597.379.740,144.217.873.252.742,drone,1
70,2022-12-16T22:29:27.683367,weed_position!,start,m_9,{weed: {x:3.163263757408154; y: 7.700152597379749} },send,3.163.263.757.408.150,7.700.152.597.379.740,144.217.873.252.742,drone,1
72,2022-12-16T22:29:47.683367,weed_position!,start,m_9,{weed: {x:3.163263757408154; y: 7.700152597379749} },send,3.163.263.757.408.150,7.700.152.597.379.740,144.217.873.252.742,drone,1
73,2022-12-16T22:29:47.699367,weed_position?,start,m_9,{weed: {x:3.163263757408154; y: 7.700152597379749} },receive,0.0,0.0,0.0,tractor_1,1
74,2022-12-16T22:29:47.701367,weed_position?,start,m_9,{weed: {x:3.163263757408154; y: 7.700152597379749} },receive,12.263.564.723.571.800,6.256.695.359.899.490,0.0,tractor_2,1
78,2022-12-16T22:29:57.708367,tractor_position!,start,m_10,{ header: tractor_1; position: {x:0; y: 0} },send,0.0,0.0,0.0,tractor_1,1
79,2022-12-16T22:29:57.721367,tractor_position?,start,m_10,{ header: tractor_1; position: {x:0; y: 0} },receive,3.163.263.757.408.150,7.700.152.597.379.740,144.217.873.252.742,drone,1
82,2022-12-16T22:29:57.773367,tractor_position!,start,m_11,{ header: tractor_2; position: {x:2.5366555226967806; y: 7.005137277147284} },send,12.263.564.723.571.800,6.256.695.359.899.490,0.0,tractor_2,1
83,2022-12-16T22:29:57.792367,tractor_position?,start,m_11,{ header: tractor_2; position: {x:2.5366555226967806; y: 7.005137277147284} },receive,3.163.263.757.408.150,7.700.152.597.379.740,144.217.873.252.742,drone,1
86,2022-12-16T22:29:57.845367,select_closest_tractor,start,,,,3.163.263.757.408.150,7.700.152.597.379.740,144.217.873.252.742,drone,1
88,2022-12-16T22:29:57.865367,closest_tractor!,start,m_12,{ name: tractor_2 },send,3.163.263.757.408.150,7.700.152.597.379.740,144.217.873.252.742,drone,1
89,2022-12-16T22:29:57.876367,explore,start,,,,3.163.263.757.408.150,7.700.152.597.379.740,14.532.534.612.948.000,drone,1
91,2022-12-16T22:29:57.880367,closest_tractor?,start,m_12,{ name: tractor_2 },receive,0.0,0.0,0.0,tractor_1,1
92,2022-12-16T22:29:57.883367,closest_tractor?,start,m_12,{ name: tractor_2 },receive,25.366.555.226.967.800,7.005.137.277.147.280,0.0,tractor_2,1
94,2022-12-16T22:29:57.891367,move,start,,,,25.366.555.226.967.800,7.005.137.277.147.280,0.0,tractor_2,1
97,2022-12-16T22:29:57.921367,cut_grass,start,,,,3.163.263.757.408.150,7.700.152.597.379.740,0.0,tractor_2,1
100,2022-12-16T22:30:06.981367,weed_found,start,,,,4.615.992.792.285.460,8.872.537.954.026.570,14.532.534.612.948.000,drone,1
102,2022-12-16T22:30:17.001367,weed_position!,start,m_13,{weed: {x:4.615992792285467; y: 8.872537954026573} },send,4.615.992.792.285.460,8.872.537.954.026.570,14.532.534.612.948.000,drone,1
104,2022-12-16T22:30:37.001367,weed_position!,start,m_13,{weed: {x:4.615992792285467; y: 8.872537954026573} },send,4.615.992.792.285.460,8.872.537.954.026.570,14.532.534.612.948.000,drone,1
105,2022-12-16T22:30:37.017367,weed_position?,start,m_13,{weed: {x:4.615992792285467; y: 8.872537954026573} },receive,0.0,0.0,0.0,tractor_1,1
108,2022-12-16T22:30:47.008367,tractor_position!,start,m_14,{ header: tractor_1; position: {x:0; y: 0} },send,0.0,0.0,0.0,tractor_1,1
109,2022-12-16T22:30:47.022367,tractor_position?,start,m_14,{ header: tractor_1; position: {x:0; y: 0} },receive,4.615.992.792.285.460,8.872.537.954.026.570,14.532.534.612.948.000,drone,1
112,2022-12-16T22:30:47.075367,select_closest_tractor,start,,,,4.615.992.792.285.460,8.872.537.954.026.570,14.532.534.612.948.000,drone,1
114,2022-12-16T22:30:47.099367,closest_tractor!,start,m_15,{ name: tractor_1 },send,4.615.992.792.285.460,8.872.537.954.026.570,14.532.534.612.948.000,drone,1
115,2022-12-16T22:30:47.109367,explore,start,,,,4.615.992.792.285.460,8.872.537.954.026.570,14.419.233.413.077.400,drone,1
117,2022-12-16T22:30:47.112367,closest_tractor?,start,m_15,{ name: tractor_1 },receive,25.366.555.226.967.800,7.005.137.277.147.280,0.0,tractor_2,1
118,2022-12-16T22:30:47.115367,closest_tractor?,start,m_15,{ name: tractor_1 },receive,0.0,0.0,0.0,tractor_1,1
119,2022-12-16T22:30:47.124367,move,start,,,,0.0,0.0,0.0,tractor_1,1
123,2022-12-16T22:30:47.168367,cut_grass,start,,,,4.615.992.792.285.460,8.872.537.954.026.570,0.0,tractor_1,1
126,2022-12-16T22:31:03.245367,weed_found,start,,,,6.809.836.790.481.840,9.957.262.323.579.110,14.419.233.413.077.400,drone,1
128,2022-12-16T22:31:13.284367,weed_position!,start,m_16,{weed: {x:6.809836790481844; y: 9.957262323579117} },send,6.809.836.790.481.840,9.957.262.323.579.110,14.419.233.413.077.400,drone,1
130,2022-12-16T22:31:33.284367,weed_position!,start,m_16,{weed: {x:6.809836790481844; y: 9.957262323579117} },send,6.809.836.790.481.840,9.957.262.323.579.110,14.419.233.413.077.400,drone,1
132,2022-12-16T22:31:53.284367,weed_position!,start,m_16,{weed: {x:6.809836790481844; y: 9.957262323579117} },send,6.809.836.790.481.840,9.957.262.323.579.110,14.419.233.413.077.400,drone,1
134,2022-12-16T22:32:13.284367,weed_position!,start,m_16,{weed: {x:6.809836790481844; y: 9.957262323579117} },send,6.809.836.790.481.840,9.957.262.323.579.110,14.419.233.413.077.400,drone,1
136,2022-12-16T22:32:33.284367,weed_position!,start,m_17,{weed: {x:6.809836790481844; y: 9.957262323579117} },send,6.809.836.790.481.840,9.957.262.323.579.110,14.419.233.413.077.400,drone,1
138,2022-12-16T22:32:53.284367,weed_position!,start,m_17,{weed: {x:6.809836790481844; y: 9.957262323579117} },send,6.809.836.790.481.840,9.957.262.323.579.110,14.419.233.413.077.400,drone,1
140,2022-12-16T22:33:13.284367,weed_position!,start,m_18,{weed: {x:6.809836790481844; y: 9.957262323579117} },send,6.809.836.790.481.840,9.957.262.323.579.110,14.419.233.413.077.400,drone,1
142,2022-12-16T22:33:33.284367,weed_position!,start,m_18,{weed: {x:6.809836790481844; y: 9.957262323579117} },send,6.809.836.790.481.840,9.957.262.323.579.110,14.419.233.413.077.400,drone,1
144,2022-12-16T22:33:53.284367,weed_position!,start,m_18,{weed: {x:6.809836790481844; y: 9.957262323579117} },send,6.809.836.790.481.840,9.957.262.323.579.110,14.419.233.413.077.400,drone,1
145,2022-12-16T22:33:53.304367,weed_position?,start,m_18,{weed: {x:6.809836790481844; y: 9.957262323579117} },receive,25.366.555.226.967.800,7.005.137.277.147.280,0.0,tractor_2,1
146,2022-12-16T22:33:53.304367,weed_position?,start,m_18,{weed: {x:6.809836790481844; y: 9.957262323579117} },receive,0.0,0.0,0.0,tractor_1,1
150,2022-12-16T22:34:03.294367,tractor_position!,start,m_19,{ header: tractor_1; position: {x:4.615992792285467; y: 8.872537954026573} },send,0.0,0.0,0.0,tractor_1,1
151,2022-12-16T22:34:03.307367,tractor_position?,start,m_19,{ header: tractor_1; position: {x:4.615992792285467; y: 8.872537954026573} },receive,6.809.836.790.481.840,9.957.262.323.579.110,14.419.233.413.077.400,drone,1
154,2022-12-16T22:34:03.350367,tractor_position!,start,m_20,{ header: tractor_2; position: {x:3.163263757408154; y: 7.700152597379749} },send,25.366.555.226.967.800,7.005.137.277.147.280,0.0,tractor_2,1
155,2022-12-16T22:34:03.364367,tractor_position?,start,m_20,{ header: tractor_2; position: {x:3.163263757408154; y: 7.700152597379749} },receive,6.809.836.790.481.840,9.957.262.323.579.110,14.419.233.413.077.400,drone,1
158,2022-12-16T22:34:03.411367,select_closest_tractor,start,,,,6.809.836.790.481.840,9.957.262.323.579.110,14.419.233.413.077.400,drone,1
160,2022-12-16T22:34:03.433367,closest_tractor!,start,m_21,{ name: tractor_1 },send,6.809.836.790.481.840,9.957.262.323.579.110,14.419.233.413.077.400,drone,1
161,2022-12-16T22:34:03.442367,closest_tractor?,start,m_21,{ name: tractor_1 },receive,3.163.263.757.408.150,7.700.152.597.379.740,0.0,tractor_2,1
163,2022-12-16T22:34:03.443367,explore,start,,,,6.809.836.790.481.840,9.957.262.323.579.110,14.500.178.044.185.400,drone,1
